seed,time,offload_decision_count,offload_to_vehicle_count,offload_to_uav_count,offload_to_rsu_count,offload_to_cloud_count,offload_to_unknown_count,active_link_count,allocated_rb_total,allocated_rb_mean_per_active_link,cpu_progress_total,computing_task_count,uav_mean_speed,uav_mean_displacement
0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.152983941345422,1.7152983941345068
0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.652983242059232,2.0652983242059295
0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.469322710024947,1.846932271002486
0,5.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.478282766076941,0.0,24.770699742514527,2.4770699742514903
0,5.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,15.349104734158628,1.534910473415839
0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,2.0,20.007555523901214,2.000755552390141
0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,2.0,20.593470175507655,2.0593470175507713
0,6.2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.39999999999999997,3.0,18.847920483625032,1.8847920483625056
0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,21.18140643450461,2.1181406434504106
0,6.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3878182474799026,3.0,15.027247864957609,1.5027247864957851
0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15540465519871177,2.0,20.4428240464271,2.044282404642691
0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12196411207414551,1.0,16.57225248411301,1.6572252484112988
0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0362251081441389,0.0,16.88826709037339,1.6888267090373177
0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.032436214336734,1.7032436214336748
0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.144091529280121,1.414409152928032
0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.854677325180674,1.8854677325180376
0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.537998782264836,1.4537998782265138
0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.603628420674958,1.5603628420675006
0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.490719489441197,2.3490719489441148
0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.78390590547278,1.9783905905472885
0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.199576020751405,2.619957602075159
0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.100032792285376,2.0100032792285196
0,7.7,1.0,0.0,1.0,0.0,0.0,0.0,1.0,50.0,50.0,0.3,1.0,28.076006325996847,2.8076006325996876
0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000000000001,1.0,16.814492249207838,1.6814492249207609
0,7.9,2.0,0.0,1.0,1.0,0.0,0.0,2.0,50.0,25.0,0.4620874188405984,2.0,27.033309679742242,2.7033309679742548
0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.4694664852791352,2.0,15.470313746111762,1.5470313746111664
0,8.1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.5233255600429447,0.0,25.885109463332626,2.58851094633327
0,8.2,7.0,2.0,1.0,4.0,0.0,0.0,5.0,35.0,7.0,3.5958389996662516,0.0,27.081662827142612,2.70816628271423
0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6402384619974,2.4640238461997894
0,8.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.2849543998255774,0.0,12.99382738253042,1.2993827382529906
0,8.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,23.03621127945925,2.303621127945891
0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044684657834657776,0.0,28.95274739202967,2.8952747392029887
0,8.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,18.19961256682899,1.819961256682908
0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15939882097982516,0.0,27.500686894957234,2.750068689495718
0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.587301086261096,1.5587301086261256
0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.83162293713338,1.8831622937133696
0,9.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,20.59154783581139,2.0591547835811514
0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,21.45405984395883,2.1454059843958575
0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015224585272455293,0.0,17.17704603421553,1.7177046034215484
0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.564769271151835,1.8564769271152
0,9.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,18.63736548123301,1.8637365481233061
0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,19.868843711893177,1.9868843711892965
0,9.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31352299878207807,1.0,18.41534470669388,1.8415344706694226
0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,21.249020896914217,2.1249020896914175
0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000007,1.0,19.110992224999677,1.9110992224999928
0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02345126813410925,0.0,24.38268582959456,2.438268582959453
0,10.1,2.0,0.0,0.0,2.0,0.0,0.0,2.0,50.0,25.0,1.1918730781793578,0.0,19.94357734538957,1.9943577345389674
0,10.2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,50.0,0.3475043303896871,0.0,13.546398140517843,1.3546398140518188
0,10.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,20.3861935841922,2.038619358419187
0,10.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.0,20.938159052839914,2.0938159052839733
0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30993331525247164,1.0,21.585154929428153,2.158515492942802
0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049745930742266575,0.0,20.453985147120655,2.045398514712059
0,10.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,21.819631356408657,2.18196313564086
0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030169775428383977,0.0,20.80431593365812,2.08043159336579
0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00615229502661,2.000615229502661
