seed,time,offload_decision_count,return_route_count,rb_task_count,rb_total,rb_mean_per_task,cpu_task_count,cpu_total_alloc,cpu_mean_alloc,uav_command_count,uav_speed_mean,uav_angle_sin_mean,uav_angle_cos_mean,uav_phi_mean
0,19.5,1.0,0.0,1.0,50.0,50.0,3.0,6.0,2.0,2,27.09183596973796,-0.9045435489003197,-0.3507083196498936,0.16748105805437824
0,19.6,1.0,0.0,1.0,50.0,50.0,2.0,4.0,2.0,2,15.335469564952334,0.9045435489003226,0.3507083196498876,-0.16748105805437496
0,19.7,1.0,0.0,1.0,50.0,50.0,2.0,4.0,2.0,2,16.951639865080644,-0.08766212378064192,0.22609731251270843,0.04628429462745765
0,19.8,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2,20.9548376454637,0.08766212378064475,-0.2260973125127203,-0.046284294627456694
0,19.9,1.0,0.0,1.0,50.0,50.0,1.0,2.0,2.0,2,18.827014462872643,0.9045435489003044,0.3507083196498837,-0.16748105805435884
0,20.0,1.0,0.0,1.0,50.0,50.0,2.0,4.0,2.0,2,19.642408523827275,-0.08766212378061922,0.2260973125126699,0.046284294627434705
1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,15.668583337869574,0.20971489748005434,0.28447388739806145,0.0
1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17.493850803282193,0.11141799306213684,-0.5133388353927019,0.0
1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,19.808364886010963,-0.030170979025075095,0.22959691183262643,0.0
1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20.541795929433974,0.03984399465453778,0.9517741806103925,0.0
1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24.728134626796574,-0.22869946218916926,0.03657842795756788,0.0
1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23.342671028843974,0.4371961338693486,0.8126049956267571,0.0
1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23.335149234329595,-0.5889776530005781,0.4950612508985274,-0.04067652098464405
1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,21.480187491455542,0.31253488503355975,0.7899777460470894,-0.04067652098464405
1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20.318673530355554,-0.09692143484111919,0.991954649543268,-0.04067652098464405
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,26.58569674026419,0.23150149305805745,0.8757977282807923,-0.04067652098464405
1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,25.30262196069473,-0.2526764836103038,0.01957107794532076,-0.04067652098464405
1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17.284112093520896,0.30500520894934796,0.1841699126429765,-0.04067652098464405
1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,25.051125909264755,0.34241720148777244,0.15183234321867234,-0.1631150946470006
1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17.89364362065783,0.4688531033424586,0.3804453544780354,-0.1631150946470006
1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18.417150767726895,0.1777190994228088,0.039072641412560616,-0.1631150946470006
1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18.84556714755999,0.3351617954086797,0.1444955259069171,-0.16311509464700055
1,1.7,1.0,0.0,1.0,50.0,50.0,1.0,3.0,3.0,2,22.35941917580231,0.12852653593213376,0.9781616285862571,-0.1631150946470006
1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14.861217841835668,0.09395254094085254,0.012121029527580651,-0.16311509464700055
1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14.068162902156066,0.24952467546063573,0.07649720932459886,-0.16311509464700055
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24.454697316317663,0.05520966359903471,0.004920387133284465,-0.16311509464700055
1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16.8700592374186,-0.2405428178551421,0.9468221166294779,-0.1631150946470006
1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14.410593830411083,-0.06442192101240704,0.9974391855061384,-0.16311509464700055
1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,18.07475783970546,0.43919892147420037,0.29442745351980815,-0.1631150946470006
1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,26.07747992675046,0.3827634351091479,0.8004188664010217,-0.16311509464700055
1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24.632094051852352,-0.026194922791637452,0.999630698015471,-0.1631150946470005
1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,21.637506288095643,-0.41033383671054535,0.8080415692728894,-0.21190470166699765
1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.378150153416211,-0.2997735201188415,0.911880965855925,-0.2188266873317518
1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16.953318511012075,-0.29977352011884134,0.911880965855925,-0.2188266873317518
1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,24.112439819919647,-0.29977352011884145,0.911880965855925,-0.2188266873317518
