path,module,size_bytes,sha256,imported_by_count,current_imported_by_count,test_file_count,proposed_action,proposed_target,rollback_path
code/scripts/evaluate_v9_hurdle_gate_calibration.py,scripts.evaluate_v9_hurdle_gate_calibration,25688,f25b1dd5c7d0d8f5774cc20c6348f711466001a1a0989fae0a6c11f8ca3c83d7,1,0,1,keep_in_place_logical_archive,,code/scripts/evaluate_v9_hurdle_gate_calibration.py
code/scripts/evaluate_v9_hybrid_activity_rate.py,scripts.evaluate_v9_hybrid_activity_rate,9424,f3b6f9fcb50fecb15da7054e983c00833db326c1e60c319c09802d8b787c0807,0,0,0,keep_in_place_logical_archive,,code/scripts/evaluate_v9_hybrid_activity_rate.py
code/scripts/finalize_v11_selector_report.py,scripts.finalize_v11_selector_report,6318,870b8ee6404d4cd0d3ada3834fcaae46e38341242a0af5222965209ee65342af,1,0,1,keep_in_place_logical_archive,,code/scripts/finalize_v11_selector_report.py
code/scripts/launch_r6_gpu_training_matrix.py,scripts.launch_r6_gpu_training_matrix,9317,4a8e45dc18de159e5b6f04bebe572be22e796f9da2da1096984bd0c652f60965,1,0,2,keep_in_place_logical_archive,,code/scripts/launch_r6_gpu_training_matrix.py
code/scripts/merge_v11_selector_crossfit_labels.py,scripts.merge_v11_selector_crossfit_labels,5026,b5da639cd3b292b62a58e446dbeca655ccf339f4d12a634b48dd326bb5cbbdff,1,0,1,keep_in_place_logical_archive,,code/scripts/merge_v11_selector_crossfit_labels.py
code/scripts/sweep_v11_adaptive_bridge_gate.py,scripts.sweep_v11_adaptive_bridge_gate,15349,b997e2aa7d4572553a2af79f63e639f791a9676e975b6b90eb9839bd39b207f5,2,0,0,keep_in_place_logical_archive,,code/scripts/sweep_v11_adaptive_bridge_gate.py
code/scripts/sweep_v11_bridge_calibration.py,scripts.sweep_v11_bridge_calibration,12488,4c82a5a5607b17eb992f607845268799696982004ef7e8499e0968b92caac13a,1,0,1,keep_in_place_logical_archive,,code/scripts/sweep_v11_bridge_calibration.py
code/scripts/sweep_v11_rb_shrink_bridge.py,scripts.sweep_v11_rb_shrink_bridge,13482,17b7531afc43041b6bf5bfcb0e731edddfd46fe934cc3b92fd64529d5bba5e80,1,0,1,keep_in_place_logical_archive,,code/scripts/sweep_v11_rb_shrink_bridge.py
code/scripts/train_v11_candidate_set_selector.py,scripts.train_v11_candidate_set_selector,35614,4179b1afaa40921e2d34619106105b8a44bebc4ca4e76caa10aee2f83794687d,6,0,1,keep_in_place_logical_archive,,code/scripts/train_v11_candidate_set_selector.py
code/scripts/train_v11_interaction_selector.py,scripts.train_v11_interaction_selector,14975,556bce5d189d54e2bfdb465184bd3d4e26ad3c97228f0dba340c151ba214c94f,0,0,0,keep_in_place_logical_archive,,code/scripts/train_v11_interaction_selector.py
code/scripts/train_v11_objective_aligned_selector.py,scripts.train_v11_objective_aligned_selector,40759,6eb64c827b17adf42d8598bdbc6d95c99488a0e67b35dd40c359f807b016d041,1,0,1,keep_in_place_logical_archive,,code/scripts/train_v11_objective_aligned_selector.py
code/scripts/train_v11_phase_selector.py,scripts.train_v11_phase_selector,9554,497e856440d22d3875c1256347374e5316573652b6cbc1f630656138f98898fb,0,0,0,keep_in_place_logical_archive,,code/scripts/train_v11_phase_selector.py
code/src/pi_jwm/r3_checkpoint.py,pi_jwm.r3_checkpoint,4194,ffa83f3bffa0949dc0c269b818864abb6a21d397a5e9610a9e7f554b1a239c12,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r3_checkpoint.py
code/src/pi_jwm/r3_objective.py,pi_jwm.r3_objective,8603,0b92851b42a24fa290bbe386ee7e90ef08362dbe4a4b445e39d0631545c18a5c,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r3_objective.py
code/src/pi_jwm/r3_preflight_data.py,pi_jwm.r3_preflight_data,27509,0f232b93771fbc2b86e226be9914c087d532cd3ee365aad20e989f6a32fc0fad,14,0,4,keep_in_place_logical_archive,,code/src/pi_jwm/r3_preflight_data.py
code/src/pi_jwm/r3_world_model.py,pi_jwm.r3_world_model,22883,eb3bf63dd4586482be3d9d1aff1255f6d435f7ad9774226f4a7bb5d785deb4cb,5,0,4,keep_in_place_logical_archive,,code/src/pi_jwm/r3_world_model.py
code/src/pi_jwm/r4_checkpoint.py,pi_jwm.r4_checkpoint,5244,dc1c0c990032cb65bd26a7689e45a5d6c0ed7fb8fdee7847a12dc657e623af8e,3,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r4_checkpoint.py
code/src/pi_jwm/r4_gpu_screening.py,pi_jwm.r4_gpu_screening,21681,1729633218cde5f3756b2669733d8950ae3889f99cf02fda3b60c5b15c625409,9,0,2,keep_in_place_logical_archive,,code/src/pi_jwm/r4_gpu_screening.py
code/src/pi_jwm/r4_module_registry.py,pi_jwm.r4_module_registry,11845,148a89be0373917778fb2a323a6fc4acfd295e61c0eb74dcce912c78594018d4,13,0,11,keep_in_place_logical_archive,,code/src/pi_jwm/r4_module_registry.py
code/src/pi_jwm/r4_objective.py,pi_jwm.r4_objective,13144,8e2daaa2e13f774ebf25011f396c01ea7f596e212805b00356fa95d554d8b148,11,0,6,keep_in_place_logical_archive,,code/src/pi_jwm/r4_objective.py
code/src/pi_jwm/r4_world_model.py,pi_jwm.r4_world_model,42422,2dfa364ea69cefde0a0cad973765951517a838aadfb332672b6ad951cf840dc8,12,0,10,keep_in_place_logical_archive,,code/src/pi_jwm/r4_world_model.py
code/src/pi_jwm/r5_analysis.py,pi_jwm.r5_analysis,21249,c7ef150596fee58fedea62bcb495fe7e28eb0568d3b9677f7a00a4a2478ec926,6,0,2,keep_in_place_logical_archive,,code/src/pi_jwm/r5_analysis.py
code/src/pi_jwm/r5_checkpoint.py,pi_jwm.r5_checkpoint,6700,e82bf0ae1427c47ad5485bd17effb52903a6acba65e1b0d41a4248a031dca20a,6,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r5_checkpoint.py
code/src/pi_jwm/r5_confirmation_analysis.py,pi_jwm.r5_confirmation_analysis,28013,72690ade69f44264009f368ba83bb653ed94e27342912a535cc7314ad30ec41d,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r5_confirmation_analysis.py
code/src/pi_jwm/r5_confirmation_checkpoint.py,pi_jwm.r5_confirmation_checkpoint,7230,9f6c2891b636eb034719fd37d2e341c6f1e9d99f4ec5b0ab5befcb11ecc556e1,4,0,2,keep_in_place_logical_archive,,code/src/pi_jwm/r5_confirmation_checkpoint.py
code/src/pi_jwm/r5_legacy_control.py,pi_jwm.r5_legacy_control,3913,3ce5c459cae0bddfaa7f6d6db8c75362d5142a292611ebb900d531de37417672,1,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r5_legacy_control.py
code/src/pi_jwm/r5_module_confirmation.py,pi_jwm.r5_module_confirmation,10236,ed70c76ddc9b514dec259c3623d2ebd28705780a7cc2fb2b34b67eba1f0d7a2b,7,0,4,keep_in_place_logical_archive,,code/src/pi_jwm/r5_module_confirmation.py
code/src/pi_jwm/r5_protocol.py,pi_jwm.r5_protocol,5928,4617171d51650aee8de877a60dc37a6815c8279b6e443f2ee93b3ef8ed58b6b4,11,0,5,keep_in_place_logical_archive,,code/src/pi_jwm/r5_protocol.py
code/src/pi_jwm/r5_world_model.py,pi_jwm.r5_world_model,2177,87768a390bac9e8fec3353184ddc40f7837d4bc6ecbabd359b3b599a6bb306d5,4,0,2,keep_in_place_logical_archive,,code/src/pi_jwm/r5_world_model.py
code/src/pi_jwm/r6_10k_analysis.py,pi_jwm.r6_10k_analysis,29055,537a1ea7567aea9e2c6640e07cc0a422738d9440c4233952900b26dc9f1e8a28,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_10k_analysis.py
code/src/pi_jwm/r6_airfogsim_joint_runtime.py,pi_jwm.r6_airfogsim_joint_runtime,15430,d9ba3d4d6f928bcc817c0777d4a995b9a166eb71fe842eb249e7acfdb4c45574,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_airfogsim_joint_runtime.py
code/src/pi_jwm/r6_cpu_paired_analysis.py,pi_jwm.r6_cpu_paired_analysis,10724,a6f9c3852352918e934adf60d631b65d2aa6a8d0e961520f1403e042c12c5a09,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_cpu_paired_analysis.py
code/src/pi_jwm/r6_cpu_paired_policy.py,pi_jwm.r6_cpu_paired_policy,6660,0f0bc5267c9c1c213ea9b6953cec2a2f88b08dc3d02468f8f1a8c2f3b5886b18,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_cpu_paired_policy.py
code/src/pi_jwm/r6_cpu_preflight.py,pi_jwm.r6_cpu_preflight,12758,076990875f5be21f3ef3423939222fafe83d3267014a8ab1185e1780a5178c1f,2,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_cpu_preflight.py
code/src/pi_jwm/r6_gpu_training_protocol.py,pi_jwm.r6_gpu_training_protocol,8074,9baf8e931733306012dcf330cc666b45303650c3a75e8b39278fa302120667e9,6,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_gpu_training_protocol.py
code/src/pi_jwm/r6_joint_action.py,pi_jwm.r6_joint_action,19103,c95a78ffd2010eaae46d791caff03658bb98d6f9891a818b122030c6b55d7d45,4,0,3,keep_in_place_logical_archive,,code/src/pi_jwm/r6_joint_action.py
code/src/pi_jwm/r6_joint_policy.py,pi_jwm.r6_joint_policy,13427,f20658cffadf24a05439e695455d1cc8e7ec2a7020966d94254d7d8307144ce2,3,0,1,keep_in_place_logical_archive,,code/src/pi_jwm/r6_joint_policy.py
