seed,time,uav_id,current_x,current_y,current_z,target_source,target_x,target_y,target_z,angle,phi,speed
3,1.0,UAV_0,192.22416198551542,434.03943729734834,136.99551665480791,random,0.0,0.0,0.0,1.0082621563643697,0.0,27.618106144947163
3,1.0,UAV_1,490.1542211875702,500.445631443796,106.49190235625929,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737724,-0.025964697225990426,29.612715136866793
3,1.1,UAV_0,193.6971228009706,436.37567022804456,136.99551665480791,random,0.0,0.0,0.0,2.603610734467661,0.0,20.10840747296088
3,1.1,UAV_1,491.1152266212163,503.24557555367323,106.41502247697568,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737726,-0.025964697225990454,29.970178907515532
3,1.2,UAV_0,191.970324364632,437.40603311132645,136.99551665480791,random,0.0,0.0,0.0,1.15386852316456,0.0,16.19340106952678
3,1.2,UAV_1,492.0878326333415,506.07931861020217,106.33721455811822,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737724,-0.025964697225990426,11.539414094108238
3,1.3,UAV_0,192.6260815570603,438.88665625263013,136.99551665480791,random,0.0,0.0,0.0,0.8041852338176311,0.0,17.53502435392285
3,1.3,UAV_1,492.4623149999289,507.1703943313882,106.30725618522136,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737726,-0.025964697225990437,27.39783041478291
3,1.4,UAV_0,193.84248323891052,440.14964387700286,136.99551665480791,random,0.0,0.0,0.0,3.0095443144674636,0.0,17.72385889945756
3,1.4,UAV_1,493.35144197720973,509.76091646145056,106.23612654090519,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737726,-0.025964697225990437,27.336650728531215
3,1.5,UAV_0,192.08552724590191,440.38300493097285,136.99551665480791,random,0.0,0.0,0.0,5.00113402044332,0.0,25.767929317833534
3,1.5,UAV_1,494.2385835232106,512.3456539243059,106.16515572994395,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737726,-0.025964697225990464,29.74911862313229
3,1.6,UAV_0,192.81926759683552,437.91288612599595,136.99551665480791,random,0.0,0.0,0.0,2.931684015961537,0.0,16.297527852662338
3,1.6,UAV_1,495.2040155854473,515.1584952689071,106.08792172293143,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737726,-0.025964697225990437,17.53033125635951
3,1.7,UAV_0,191.225287956861,438.25247860004356,136.99551665480791,nearest_mission,703.0933282704333,77.96344778470177,100.0,-0.613319178644329,-0.05903403905036112,21.784062926796157
3,1.7,UAV_1,495.7729179475952,516.8160247294304,106.04240986275374,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737726,-0.02596469722599045,12.665368327510432
3,1.8,UAV_0,193.00355923996372,437.00080514779336,136.86699121526203,nearest_mission,703.0933282704333,77.96344778470177,100.0,-0.613319178644329,-0.05903403905036113,24.760685785040685
3,1.8,UAV_1,496.18394029815005,518.0135617767472,106.00952831225757,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737726,-0.025964697225990433,10.443649379816197
3,1.9,UAV_0,195.02481747032374,435.57810024830826,136.7209037735082,nearest_mission,703.0933282704333,77.96344778470177,100.0,-0.613319178644329,-0.059034039050361135,11.211536072915946
3,1.9,UAV_1,496.522862404911,519.0010306539335,105.98241473959496,nearest_mission,571.3035868889621,736.8789340670996,100.0,1.2401715655737726,-0.02596469722599043,23.520406189747536
3,2.0,UAV_0,195.94003483381255,434.93390535644755,136.65475598433784,nearest_mission,703.0933282704333,77.96344778470177,100.0,-0.613319178644329,-0.05903403905036115,29.266111607725147
